campagne,date,jour,variable,groupe,valeur,date_year,date_month,date_week,jour_year,jour_month,jour_week
2021-2022,2021-11-01,1970-01-01 00:00:00.000000011,ACTE(VGP),moins de 65 ans,313,2021,11,44,1970,1,1
2021-2022,2021-11-01,1970-01-01 00:00:00.000000011,DOSES(J07E1),moins de 65 ans,854,2021,11,44,1970,1,1
2021-2022,2021-11-02,1970-01-01 00:00:00.000000012,ACTE(VGP),65 ans et plus,151892,2021,11,44,1970,1,1
2021-2022,2021-11-02,1970-01-01 00:00:00.000000012,DOSES(J07E1),65 ans et plus,399202,2021,11,44,1970,1,1
2021-2022,2021-11-02,1970-01-01 00:00:00.000000012,ACTE(VGP),moins de 65 ans,28909,2021,11,44,1970,1,1
2021-2022,2021-11-02,1970-01-01 00:00:00.000000012,DOSES(J07E1),moins de 65 ans,82752,2021,11,44,1970,1,1
2021-2022,2021-11-03,1970-01-01 00:00:00.000000013,ACTE(VGP),65 ans et plus,132283,2021,11,44,1970,1,1
2021-2022,2021-11-03,1970-01-01 00:00:00.000000013,DOSES(J07E1),65 ans et plus,337307,2021,11,44,1970,1,1
2021-2022,2021-11-03,1970-01-01 00:00:00.000000013,ACTE(VGP),moins de 65 ans,25122,2021,11,44,1970,1,1
2021-2022,2021-11-03,1970-01-01 00:00:00.000000013,DOSES(J07E1),moins de 65 ans,73352,2021,11,44,1970,1,1
2021-2022,2021-11-04,1970-01-01 00:00:00.000000014,ACTE(VGP),65 ans et plus,124827,2021,11,44,1970,1,1
2021-2022,2021-11-04,1970-01-01 00:00:00.000000014,DOSES(J07E1),65 ans et plus,306386,2021,11,44,1970,1,1
2021-2022,2021-11-04,1970-01-01 00:00:00.000000014,ACTE(VGP),moins de 65 ans,24211,2021,11,44,1970,1,1
2021-2022,2021-11-04,1970-01-01 00:00:00.000000014,DOSES(J07E1),moins de 65 ans,68462,2021,11,44,1970,1,1
2021-2022,2021-11-05,1970-01-01 00:00:00.000000015,ACTE(VGP),65 ans et plus,120242,2021,11,44,1970,1,1
2021-2022,2021-11-05,1970-01-01 00:00:00.000000015,DOSES(J07E1),65 ans et plus,287367,2021,11,44,1970,1,1
2021-2022,2021-11-05,1970-01-01 00:00:00.000000015,ACTE(VGP),moins de 65 ans,26376,2021,11,44,1970,1,1
2021-2022,2021-11-05,1970-01-01 00:00:00.000000015,DOSES(J07E1),moins de 65 ans,70877,2021,11,44,1970,1,1
2021-2022,2021-11-06,1970-01-01 00:00:00.000000016,ACTE(VGP),65 ans et plus,41072,2021,11,44,1970,1,1
2021-2022,2021-11-06,1970-01-01 00:00:00.000000016,DOSES(J07E1),65 ans et plus,134290,2021,11,44,1970,1,1
2021-2022,2021-11-06,1970-01-01 00:00:00.000000016,ACTE(VGP),moins de 65 ans,15313,2021,11,44,1970,1,1
2021-2022,2021-11-06,1970-01-01 00:00:00.000000016,DOSES(J07E1),moins de 65 ans,45852,2021,11,44,1970,1,1
2021-2022,2021-11-07,1970-01-01 00:00:00.000000017,ACTE(VGP),65 ans et plus,515,2021,11,44,1970,1,1
2021-2022,2021-11-07,1970-01-01 00:00:00.000000017,DOSES(J07E1),65 ans et plus,1257,2021,11,44,1970,1,1
2021-2022,2021-11-07,1970-01-01 00:00:00.000000017,ACTE(VGP),moins de 65 ans,163,2021,11,44,1970,1,1
2021-2022,2021-11-07,1970-01-01 00:00:00.000000017,DOSES(J07E1),moins de 65 ans,534,2021,11,44,1970,1,1
2021-2022,2021-11-08,1970-01-01 00:00:00.000000018,ACTE(VGP),65 ans et plus,131120,2021,11,45,1970,1,1
2021-2022,2021-11-08,1970-01-01 00:00:00.000000018,DOSES(J07E1),65 ans et plus,290012,2021,11,45,1970,1,1
2021-2022,2021-11-08,1970-01-01 00:00:00.000000018,ACTE(VGP),moins de 65 ans,25307,2021,11,45,1970,1,1
2021-2022,2021-11-08,1970-01-01 00:00:00.000000018,DOSES(J07E1),moins de 65 ans,68898,2021,11,45,1970,1,1
2021-2022,2021-11-09,1970-01-01 00:00:00.000000019,ACTE(VGP),65 ans et plus,144903,2021,11,45,1970,1,1
2021-2022,2021-11-09,1970-01-01 00:00:00.000000019,DOSES(J07E1),65 ans et plus,307027,2021,11,45,1970,1,1
2021-2022,2021-11-09,1970-01-01 00:00:00.000000019,ACTE(VGP),moins de 65 ans,25984,2021,11,45,1970,1,1
2021-2022,2021-11-09,1970-01-01 00:00:00.000000019,DOSES(J07E1),moins de 65 ans,69824,2021,11,45,1970,1,1
2021-2022,2021-11-10,1970-01-01 00:00:00.000000020,ACTE(VGP),65 ans et plus,125243,2021,11,45,1970,1,1
2021-2022,2021-11-10,1970-01-01 00:00:00.000000020,DOSES(J07E1),65 ans et plus,268875,2021,11,45,1970,1,1
2021-2022,2021-11-10,1970-01-01 00:00:00.000000020,ACTE(VGP),moins de 65 ans,26073,2021,11,45,1970,1,1
2021-2022,2021-11-10,1970-01-01 00:00:00.000000020,DOSES(J07E1),moins de 65 ans,71699,2021,11,45,1970,1,1
2021-2022,2021-11-11,1970-01-01 00:00:00.000000021,ACTE(VGP),65 ans et plus,1078,2021,11,45,1970,1,1
2021-2022,2021-11-11,1970-01-01 00:00:00.000000021,DOSES(J07E1),65 ans et plus,2678,2021,11,45,1970,1,1
2021-2022,2021-11-11,1970-01-01 00:00:00.000000021,ACTE(VGP),moins de 65 ans,408,2021,11,45,1970,1,1
2021-2022,2021-11-11,1970-01-01 00:00:00.000000021,DOSES(J07E1),moins de 65 ans,1196,2021,11,45,1970,1,1
2021-2022,2021-11-12,1970-01-01 00:00:00.000000022,ACTE(VGP),65 ans et plus,126354,2021,11,45,1970,1,1
2021-2022,2021-11-12,1970-01-01 00:00:00.000000022,DOSES(J07E1),65 ans et plus,261935,2021,11,45,1970,1,1
2021-2022,2021-11-12,1970-01-01 00:00:00.000000022,ACTE(VGP),moins de 65 ans,28142,2021,11,45,1970,1,1
2021-2022,2021-11-12,1970-01-01 00:00:00.000000022,DOSES(J07E1),moins de 65 ans,70635,2021,11,45,1970,1,1
2021-2022,2021-11-13,1970-01-01 00:00:00.000000023,ACTE(VGP),65 ans et plus,35947,2021,11,45,1970,1,1
2021-2022,2021-11-13,1970-01-01 00:00:00.000000023,DOSES(J07E1),65 ans et plus,101066,2021,11,45,1970,1,1
2021-2022,2021-11-13,1970-01-01 00:00:00.000000023,ACTE(VGP),moins de 65 ans,12773,2021,11,45,1970,1,1
2021-2022,2021-11-13,1970-01-01 00:00:00.000000023,DOSES(J07E1),moins de 65 ans,36667,2021,11,45,1970,1,1
2021-2022,2021-11-14,1970-01-01 00:00:00.000000024,ACTE(VGP),65 ans et plus,360,2021,11,45,1970,1,1
2021-2022,2021-11-14,1970-01-01 00:00:00.000000024,DOSES(J07E1),65 ans et plus,1064,2021,11,45,1970,1,1
2021-2022,2021-11-14,1970-01-01 00:00:00.000000024,ACTE(VGP),moins de 65 ans,213,2021,11,45,1970,1,1
2021-2022,2021-11-14,1970-01-01 00:00:00.000000024,DOSES(J07E1),moins de 65 ans,586,2021,11,45,1970,1,1
2021-2022,2021-11-15,1970-01-01 00:00:00.000000025,ACTE(VGP),65 ans et plus,117396,2021,11,46,1970,1,1
2021-2022,2021-11-15,1970-01-01 00:00:00.000000025,DOSES(J07E1),65 ans et plus,230292,2021,11,46,1970,1,1
2021-2022,2021-11-15,1970-01-01 00:00:00.000000025,ACTE(VGP),moins de 65 ans,23842,2021,11,46,1970,1,1
2021-2022,2021-11-15,1970-01-01 00:00:00.000000025,DOSES(J07E1),moins de 65 ans,61887,2021,11,46,1970,1,1
2021-2022,2021-11-16,1970-01-01 00:00:00.000000026,ACTE(VGP),65 ans et plus,125888,2021,11,46,1970,1,1
2021-2022,2021-11-16,1970-01-01 00:00:00.000000026,DOSES(J07E1),65 ans et plus,240472,2021,11,46,1970,1,1
2021-2022,2021-11-16,1970-01-01 00:00:00.000000026,ACTE(VGP),moins de 65 ans,24456,2021,11,46,1970,1,1
2021-2022,2021-11-16,1970-01-01 00:00:00.000000026,DOSES(J07E1),moins de 65 ans,64631,2021,11,46,1970,1,1
2021-2022,2021-11-17,1970-01-01 00:00:00.000000027,ACTE(VGP),65 ans et plus,92746,2021,11,46,1970,1,1
2021-2022,2021-11-17,1970-01-01 00:00:00.000000027,DOSES(J07E1),65 ans et plus,184207,2021,11,46,1970,1,1
2021-2022,2021-11-17,1970-01-01 00:00:00.000000027,ACTE(VGP),moins de 65 ans,21064,2021,11,46,1970,1,1
2021-2022,2021-11-17,1970-01-01 00:00:00.000000027,DOSES(J07E1),moins de 65 ans,58361,2021,11,46,1970,1,1
2021-2022,2021-11-18,1970-01-01 00:00:00.000000028,ACTE(VGP),65 ans et plus,91857,2021,11,46,1970,1,1
2021-2022,2021-11-18,1970-01-01 00:00:00.000000028,DOSES(J07E1),65 ans et plus,174239,2021,11,46,1970,1,1
2021-2022,2021-11-18,1970-01-01 00:00:00.000000028,ACTE(VGP),moins de 65 ans,20834,2021,11,46,1970,1,1
2021-2022,2021-11-18,1970-01-01 00:00:00.000000028,DOSES(J07E1),moins de 65 ans,55015,2021,11,46,1970,1,1
2021-2022,2021-11-19,1970-01-01 00:00:00.000000029,ACTE(VGP),65 ans et plus,80696,2021,11,46,1970,1,1
2021-2022,2021-11-19,1970-01-01 00:00:00.000000029,DOSES(J07E1),65 ans et plus,151235,2021,11,46,1970,1,1
2021-2022,2021-11-19,1970-01-01 00:00:00.000000029,ACTE(VGP),moins de 65 ans,22749,2021,11,46,1970,1,1
2021-2022,2021-11-19,1970-01-01 00:00:00.000000029,DOSES(J07E1),moins de 65 ans,56755,2021,11,46,1970,1,1
2021-2022,2021-11-20,1970-01-01 00:00:00.000000030,ACTE(VGP),65 ans et plus,24327,2021,11,46,1970,1,1
2021-2022,2021-11-20,1970-01-01 00:00:00.000000030,DOSES(J07E1),65 ans et plus,62566,2021,11,46,1970,1,1
2021-2022,2021-11-20,1970-01-01 00:00:00.000000030,ACTE(VGP),moins de 65 ans,13726,2021,11,46,1970,1,1
2021-2022,2021-11-20,1970-01-01 00:00:00.000000030,DOSES(J07E1),moins de 65 ans,38569,2021,11,46,1970,1,1
2021-2022,2021-11-21,1970-01-01 00:00:00.000000031,ACTE(VGP),65 ans et plus,292,2021,11,46,1970,1,1
2021-2022,2021-11-21,1970-01-01 00:00:00.000000031,DOSES(J07E1),65 ans et plus,771,2021,11,46,1970,1,1
2021-2022,2021-11-21,1970-01-01 00:00:00.000000031,ACTE(VGP),moins de 65 ans,143,2021,11,46,1970,1,1
2021-2022,2021-11-21,1970-01-01 00:00:00.000000031,DOSES(J07E1),moins de 65 ans,480,2021,11,46,1970,1,1
2021-2022,2021-11-22,1970-01-01 00:00:00.000000032,ACTE(VGP),65 ans et plus,75255,2021,11,47,1970,1,1
2021-2022,2021-11-22,1970-01-01 00:00:00.000000032,DOSES(J07E1),65 ans et plus,139859,2021,11,47,1970,1,1
2021-2022,2021-11-22,1970-01-01 00:00:00.000000032,ACTE(VGP),moins de 65 ans,28861,2021,11,47,1970,1,1
2021-2022,2021-11-22,1970-01-01 00:00:00.000000032,DOSES(J07E1),moins de 65 ans,82538,2021,11,47,1970,1,1
2021-2022,2021-11-23,1970-01-01 00:00:00.000000033,ACTE(VGP),65 ans et plus,80437,2021,11,47,1970,1,1
2021-2022,2021-11-23,1970-01-01 00:00:00.000000033,DOSES(J07E1),65 ans et plus,145563,2021,11,47,1970,1,1
2021-2022,2021-11-23,1970-01-01 00:00:00.000000033,ACTE(VGP),moins de 65 ans,31783,2021,11,47,1970,1,1
2021-2022,2021-11-23,1970-01-01 00:00:00.000000033,DOSES(J07E1),moins de 65 ans,85607,2021,11,47,1970,1,1
2021-2022,2021-11-24,1970-01-01 00:00:00.000000034,ACTE(VGP),65 ans et plus,58897,2021,11,47,1970,1,1
2021-2022,2021-11-24,1970-01-01 00:00:00.000000034,DOSES(J07E1),65 ans et plus,108954,2021,11,47,1970,1,1
2021-2022,2021-11-24,1970-01-01 00:00:00.000000034,ACTE(VGP),moins de 65 ans,25243,2021,11,47,1970,1,1
2021-2022,2021-11-24,1970-01-01 00:00:00.000000034,DOSES(J07E1),moins de 65 ans,68446,2021,11,47,1970,1,1
2021-2022,2021-11-25,1970-01-01 00:00:00.000000035,ACTE(VGP),65 ans et plus,58293,2021,11,47,1970,1,1
2021-2022,2021-11-25,1970-01-01 00:00:00.000000035,DOSES(J07E1),65 ans et plus,105921,2021,11,47,1970,1,1
2021-2022,2021-11-25,1970-01-01 00:00:00.000000035,ACTE(VGP),moins de 65 ans,24659,2021,11,47,1970,1,1
2021-2022,2021-11-25,1970-01-01 00:00:00.000000035,DOSES(J07E1),moins de 65 ans,62553,2021,11,47,1970,1,1
2021-2022,2021-11-26,1970-01-01 00:00:00.000000036,ACTE(VGP),65 ans et plus,56424,2021,11,47,1970,1,1
2021-2022,2021-11-26,1970-01-01 00:00:00.000000036,DOSES(J07E1),65 ans et plus,99072,2021,11,47,1970,1,1
2021-2022,2021-11-26,1970-01-01 00:00:00.000000036,ACTE(VGP),moins de 65 ans,28494,2021,11,47,1970,1,1
2021-2022,2021-11-26,1970-01-01 00:00:00.000000036,DOSES(J07E1),moins de 65 ans,67379,2021,11,47,1970,1,1
2021-2022,2021-11-27,1970-01-01 00:00:00.000000037,ACTE(VGP),65 ans et plus,16010,2021,11,47,1970,1,1
2021-2022,2021-11-27,1970-01-01 00:00:00.000000037,DOSES(J07E1),65 ans et plus,38724,2021,11,47,1970,1,1
2021-2022,2021-11-27,1970-01-01 00:00:00.000000037,ACTE(VGP),moins de 65 ans,17077,2021,11,47,1970,1,1
2021-2022,2021-11-27,1970-01-01 00:00:00.000000037,DOSES(J07E1),moins de 65 ans,42211,2021,11,47,1970,1,1
2021-2022,2021-11-28,1970-01-01 00:00:00.000000038,ACTE(VGP),65 ans et plus,312,2021,11,47,1970,1,1
2021-2022,2021-11-28,1970-01-01 00:00:00.000000038,DOSES(J07E1),65 ans et plus,593,2021,11,47,1970,1,1
2021-2022,2021-11-28,1970-01-01 00:00:00.000000038,ACTE(VGP),moins de 65 ans,241,2021,11,47,1970,1,1
2021-2022,2021-11-28,1970-01-01 00:00:00.000000038,DOSES(J07E1),moins de 65 ans,638,2021,11,47,1970,1,1
2021-2022,2021-11-29,1970-01-01 00:00:00.000000039,ACTE(VGP),65 ans et plus,47378,2021,11,48,1970,1,1
2021-2022,2021-11-29,1970-01-01 00:00:00.000000039,DOSES(J07E1),65 ans et plus,86001,2021,11,48,1970,1,1
2021-2022,2021-11-29,1970-01-01 00:00:00.000000039,ACTE(VGP),moins de 65 ans,21273,2021,11,48,1970,1,1
2021-2022,2021-11-29,1970-01-01 00:00:00.000000039,DOSES(J07E1),moins de 65 ans,51357,2021,11,48,1970,1,1
2021-2022,2021-11-30,1970-01-01 00:00:00.000000040,ACTE(VGP),65 ans et plus,54192,2021,11,48,1970,1,1
2021-2022,2021-11-30,1970-01-01 00:00:00.000000040,DOSES(J07E1),65 ans et plus,94850,2021,11,48,1970,1,1
2021-2022,2021-11-30,1970-01-01 00:00:00.000000040,ACTE(VGP),moins de 65 ans,21188,2021,11,48,1970,1,1
2021-2022,2021-11-30,1970-01-01 00:00:00.000000040,DOSES(J07E1),moins de 65 ans,50213,2021,11,48,1970,1,1
2021-2022,2021-12-01,1970-01-01 00:00:00.000000041,ACTE(VGP),65 ans et plus,40252,2021,12,48,1970,1,1
2021-2022,2021-12-01,1970-01-01 00:00:00.000000041,DOSES(J07E1),65 ans et plus,71523,2021,12,48,1970,1,1
2021-2022,2021-12-01,1970-01-01 00:00:00.000000041,ACTE(VGP),moins de 65 ans,17357,2021,12,48,1970,1,1
2021-2022,2021-12-01,1970-01-01 00:00:00.000000041,DOSES(J07E1),moins de 65 ans,42202,2021,12,48,1970,1,1
2021-2022,2021-12-02,1970-01-01 00:00:00.000000042,ACTE(VGP),65 ans et plus,40202,2021,12,48,1970,1,1
2021-2022,2021-12-02,1970-01-01 00:00:00.000000042,DOSES(J07E1),65 ans et plus,70914,2021,12,48,1970,1,1
2021-2022,2021-12-02,1970-01-01 00:00:00.000000042,ACTE(VGP),moins de 65 ans,16056,2021,12,48,1970,1,1
2021-2022,2021-12-02,1970-01-01 00:00:00.000000042,DOSES(J07E1),moins de 65 ans,37999,2021,12,48,1970,1,1
2021-2022,2021-12-03,1970-01-01 00:00:00.000000043,ACTE(VGP),65 ans et plus,34194,2021,12,48,1970,1,1
2021-2022,2021-12-03,1970-01-01 00:00:00.000000043,DOSES(J07E1),65 ans et plus,59561,2021,12,48,1970,1,1
2021-2022,2021-12-03,1970-01-01 00:00:00.000000043,ACTE(VGP),moins de 65 ans,16513,2021,12,48,1970,1,1
2021-2022,2021-12-03,1970-01-01 00:00:00.000000043,DOSES(J07E1),moins de 65 ans,37171,2021,12,48,1970,1,1
2021-2022,2021-12-04,1970-01-01 00:00:00.000000044,ACTE(VGP),65 ans et plus,10634,2021,12,48,1970,1,1
2021-2022,2021-12-04,1970-01-01 00:00:00.000000044,DOSES(J07E1),65 ans et plus,24530,2021,12,48,1970,1,1
2021-2022,2021-12-04,1970-01-01 00:00:00.000000044,ACTE(VGP),moins de 65 ans,9942,2021,12,48,1970,1,1
2021-2022,2021-12-04,1970-01-01 00:00:00.000000044,DOSES(J07E1),moins de 65 ans,23973,2021,12,48,1970,1,1
2021-2022,2021-12-05,1970-01-01 00:00:00.000000045,ACTE(VGP),65 ans et plus,285,2021,12,48,1970,1,1
2021-2022,2021-12-05,1970-01-01 00:00:00.000000045,DOSES(J07E1),65 ans et plus,401,2021,12,48,1970,1,1
2021-2022,2021-12-05,1970-01-01 00:00:00.000000045,ACTE(VGP),moins de 65 ans,197,2021,12,48,1970,1,1
2021-2022,2021-12-05,1970-01-01 00:00:00.000000045,DOSES(J07E1),moins de 65 ans,432,2021,12,48,1970,1,1
2021-2022,2021-12-06,1970-01-01 00:00:00.000000046,ACTE(VGP),65 ans et plus,29296,2021,12,49,1970,1,1
2021-2022,2021-12-06,1970-01-01 00:00:00.000000046,DOSES(J07E1),65 ans et plus,50507,2021,12,49,1970,1,1
2021-2022,2021-12-06,1970-01-01 00:00:00.000000046,ACTE(VGP),moins de 65 ans,12567,2021,12,49,1970,1,1
2021-2022,2021-12-06,1970-01-01 00:00:00.000000046,DOSES(J07E1),moins de 65 ans,29396,2021,12,49,1970,1,1
2021-2022,2021-12-07,1970-01-01 00:00:00.000000047,ACTE(VGP),65 ans et plus,31680,2021,12,49,1970,1,1
2021-2022,2021-12-07,1970-01-01 00:00:00.000000047,DOSES(J07E1),65 ans et plus,53490,2021,12,49,1970,1,1
2021-2022,2021-12-07,1970-01-01 00:00:00.000000047,ACTE(VGP),moins de 65 ans,12364,2021,12,49,1970,1,1
2021-2022,2021-12-07,1970-01-01 00:00:00.000000047,DOSES(J07E1),moins de 65 ans,28612,2021,12,49,1970,1,1
2021-2022,2021-12-08,1970-01-01 00:00:00.000000048,ACTE(VGP),65 ans et plus,24589,2021,12,49,1970,1,1
2021-2022,2021-12-08,1970-01-01 00:00:00.000000048,DOSES(J07E1),65 ans et plus,42804,2021,12,49,1970,1,1
2021-2022,2021-12-08,1970-01-01 00:00:00.000000048,ACTE(VGP),moins de 65 ans,10433,2021,12,49,1970,1,1
2021-2022,2021-12-08,1970-01-01 00:00:00.000000048,DOSES(J07E1),moins de 65 ans,24950,2021,12,49,1970,1,1
2021-2022,2021-12-09,1970-01-01 00:00:00.000000049,ACTE(VGP),65 ans et plus,24579,2021,12,49,1970,1,1
2021-2022,2021-12-09,1970-01-01 00:00:00.000000049,DOSES(J07E1),65 ans et plus,41890,2021,12,49,1970,1,1
2021-2022,2021-12-09,1970-01-01 00:00:00.000000049,ACTE(VGP),moins de 65 ans,10329,2021,12,49,1970,1,1
2021-2022,2021-12-09,1970-01-01 00:00:00.000000049,DOSES(J07E1),moins de 65 ans,23967,2021,12,49,1970,1,1
2021-2022,2021-12-10,1970-01-01 00:00:00.000000050,ACTE(VGP),65 ans et plus,21662,2021,12,49,1970,1,1
2021-2022,2021-12-10,1970-01-01 00:00:00.000000050,DOSES(J07E1),65 ans et plus,36819,2021,12,49,1970,1,1
2021-2022,2021-12-10,1970-01-01 00:00:00.000000050,ACTE(VGP),moins de 65 ans,10506,2021,12,49,1970,1,1
2021-2022,2021-12-10,1970-01-01 00:00:00.000000050,DOSES(J07E1),moins de 65 ans,24127,2021,12,49,1970,1,1
2021-2022,2021-12-11,1970-01-01 00:00:00.000000051,ACTE(VGP),65 ans et plus,7552,2021,12,49,1970,1,1
2021-2022,2021-12-11,1970-01-01 00:00:00.000000051,DOSES(J07E1),65 ans et plus,16385,2021,12,49,1970,1,1
2021-2022,2021-12-11,1970-01-01 00:00:00.000000051,ACTE(VGP),moins de 65 ans,6130,2021,12,49,1970,1,1
2021-2022,2021-12-11,1970-01-01 00:00:00.000000051,DOSES(J07E1),moins de 65 ans,15093,2021,12,49,1970,1,1
2021-2022,2021-12-12,1970-01-01 00:00:00.000000052,ACTE(VGP),65 ans et plus,208,2021,12,49,1970,1,1
2021-2022,2021-12-12,1970-01-01 00:00:00.000000052,DOSES(J07E1),65 ans et plus,405,2021,12,49,1970,1,1
2021-2022,2021-12-12,1970-01-01 00:00:00.000000052,ACTE(VGP),moins de 65 ans,240,2021,12,49,1970,1,1
2021-2022,2021-12-12,1970-01-01 00:00:00.000000052,DOSES(J07E1),moins de 65 ans,436,2021,12,49,1970,1,1
2021-2022,2021-12-13,1970-01-01 00:00:00.000000053,ACTE(VGP),65 ans et plus,20092,2021,12,50,1970,1,1
2021-2022,2021-12-13,1970-01-01 00:00:00.000000053,DOSES(J07E1),65 ans et plus,33307,2021,12,50,1970,1,1
2021-2022,2021-12-13,1970-01-01 00:00:00.000000053,ACTE(VGP),moins de 65 ans,8671,2021,12,50,1970,1,1
2021-2022,2021-12-13,1970-01-01 00:00:00.000000053,DOSES(J07E1),moins de 65 ans,19549,2021,12,50,1970,1,1
2021-2022,2021-12-14,1970-01-01 00:00:00.000000054,ACTE(VGP),65 ans et plus,21249,2021,12,50,1970,1,1
2021-2022,2021-12-14,1970-01-01 00:00:00.000000054,DOSES(J07E1),65 ans et plus,34808,2021,12,50,1970,1,1
