campagne,date,jour,variable,groupe,valeur,date_year,date_month,date_week,jour_year,jour_month,jour_week
2022-2023,2022-10-18,1970-01-01 00:00:00.000000001,ACTE(VGP),65 ans et plus,149739,2022,10,42,1970,1,1
2022-2023,2022-10-18,1970-01-01 00:00:00.000000001,DOSES(J07E1),65 ans et plus,555059,2022,10,42,1970,1,1
2022-2023,2022-10-18,1970-01-01 00:00:00.000000001,ACTE(VGP),moins de 65 ans,37380,2022,10,42,1970,1,1
2022-2023,2022-10-18,1970-01-01 00:00:00.000000001,DOSES(J07E1),moins de 65 ans,119448,2022,10,42,1970,1,1
2022-2023,2022-10-19,1970-01-01 00:00:00.000000002,ACTE(VGP),65 ans et plus,120484,2022,10,42,1970,1,1
2022-2023,2022-10-19,1970-01-01 00:00:00.000000002,DOSES(J07E1),65 ans et plus,396041,2022,10,42,1970,1,1
2022-2023,2022-10-19,1970-01-01 00:00:00.000000002,ACTE(VGP),moins de 65 ans,27396,2022,10,42,1970,1,1
2022-2023,2022-10-19,1970-01-01 00:00:00.000000002,DOSES(J07E1),moins de 65 ans,82064,2022,10,42,1970,1,1
2022-2023,2022-10-20,1970-01-01 00:00:00.000000003,ACTE(VGP),65 ans et plus,108450,2022,10,42,1970,1,1
2022-2023,2022-10-20,1970-01-01 00:00:00.000000003,DOSES(J07E1),65 ans et plus,332013,2022,10,42,1970,1,1
2022-2023,2022-10-20,1970-01-01 00:00:00.000000003,ACTE(VGP),moins de 65 ans,23765,2022,10,42,1970,1,1
2022-2023,2022-10-20,1970-01-01 00:00:00.000000003,DOSES(J07E1),moins de 65 ans,66854,2022,10,42,1970,1,1
2022-2023,2022-10-21,1970-01-01 00:00:00.000000004,ACTE(VGP),65 ans et plus,109942,2022,10,42,1970,1,1
2022-2023,2022-10-21,1970-01-01 00:00:00.000000004,DOSES(J07E1),65 ans et plus,284934,2022,10,42,1970,1,1
2022-2023,2022-10-21,1970-01-01 00:00:00.000000004,ACTE(VGP),moins de 65 ans,24291,2022,10,42,1970,1,1
2022-2023,2022-10-21,1970-01-01 00:00:00.000000004,DOSES(J07E1),moins de 65 ans,65265,2022,10,42,1970,1,1
2022-2023,2022-10-22,1970-01-01 00:00:00.000000005,ACTE(VGP),65 ans et plus,30803,2022,10,42,1970,1,1
2022-2023,2022-10-22,1970-01-01 00:00:00.000000005,DOSES(J07E1),65 ans et plus,123654,2022,10,42,1970,1,1
2022-2023,2022-10-22,1970-01-01 00:00:00.000000005,ACTE(VGP),moins de 65 ans,13179,2022,10,42,1970,1,1
2022-2023,2022-10-22,1970-01-01 00:00:00.000000005,DOSES(J07E1),moins de 65 ans,37333,2022,10,42,1970,1,1
2022-2023,2022-10-23,1970-01-01 00:00:00.000000006,ACTE(VGP),65 ans et plus,671,2022,10,42,1970,1,1
2022-2023,2022-10-23,1970-01-01 00:00:00.000000006,DOSES(J07E1),65 ans et plus,1346,2022,10,42,1970,1,1
2022-2023,2022-10-23,1970-01-01 00:00:00.000000006,ACTE(VGP),moins de 65 ans,295,2022,10,42,1970,1,1
2022-2023,2022-10-23,1970-01-01 00:00:00.000000006,DOSES(J07E1),moins de 65 ans,573,2022,10,42,1970,1,1
2022-2023,2022-10-24,1970-01-01 00:00:00.000000007,ACTE(VGP),65 ans et plus,81614,2022,10,43,1970,1,1
2022-2023,2022-10-24,1970-01-01 00:00:00.000000007,DOSES(J07E1),65 ans et plus,224971,2022,10,43,1970,1,1
2022-2023,2022-10-24,1970-01-01 00:00:00.000000007,ACTE(VGP),moins de 65 ans,19431,2022,10,43,1970,1,1
2022-2023,2022-10-24,1970-01-01 00:00:00.000000007,DOSES(J07E1),moins de 65 ans,51813,2022,10,43,1970,1,1
2022-2023,2022-10-25,1970-01-01 00:00:00.000000008,ACTE(VGP),65 ans et plus,98327,2022,10,43,1970,1,1
2022-2023,2022-10-25,1970-01-01 00:00:00.000000008,DOSES(J07E1),65 ans et plus,253772,2022,10,43,1970,1,1
2022-2023,2022-10-25,1970-01-01 00:00:00.000000008,ACTE(VGP),moins de 65 ans,20340,2022,10,43,1970,1,1
2022-2023,2022-10-25,1970-01-01 00:00:00.000000008,DOSES(J07E1),moins de 65 ans,53815,2022,10,43,1970,1,1
2022-2023,2022-10-26,1970-01-01 00:00:00.000000009,ACTE(VGP),65 ans et plus,74157,2022,10,43,1970,1,1
2022-2023,2022-10-26,1970-01-01 00:00:00.000000009,DOSES(J07E1),65 ans et plus,198278,2022,10,43,1970,1,1
2022-2023,2022-10-26,1970-01-01 00:00:00.000000009,ACTE(VGP),moins de 65 ans,17048,2022,10,43,1970,1,1
2022-2023,2022-10-26,1970-01-01 00:00:00.000000009,DOSES(J07E1),moins de 65 ans,45902,2022,10,43,1970,1,1
2022-2023,2022-10-27,1970-01-01 00:00:00.000000010,ACTE(VGP),65 ans et plus,69950,2022,10,43,1970,1,1
2022-2023,2022-10-27,1970-01-01 00:00:00.000000010,DOSES(J07E1),65 ans et plus,185155,2022,10,43,1970,1,1
2022-2023,2022-10-27,1970-01-01 00:00:00.000000010,ACTE(VGP),moins de 65 ans,16212,2022,10,43,1970,1,1
2022-2023,2022-10-27,1970-01-01 00:00:00.000000010,DOSES(J07E1),moins de 65 ans,42811,2022,10,43,1970,1,1
2022-2023,2022-10-28,1970-01-01 00:00:00.000000011,ACTE(VGP),65 ans et plus,68039,2022,10,43,1970,1,1
2022-2023,2022-10-28,1970-01-01 00:00:00.000000011,DOSES(J07E1),65 ans et plus,176185,2022,10,43,1970,1,1
2022-2023,2022-10-28,1970-01-01 00:00:00.000000011,ACTE(VGP),moins de 65 ans,17827,2022,10,43,1970,1,1
2022-2023,2022-10-28,1970-01-01 00:00:00.000000011,DOSES(J07E1),moins de 65 ans,45227,2022,10,43,1970,1,1
2022-2023,2022-10-29,1970-01-01 00:00:00.000000012,ACTE(VGP),65 ans et plus,21996,2022,10,43,1970,1,1
2022-2023,2022-10-29,1970-01-01 00:00:00.000000012,DOSES(J07E1),65 ans et plus,77062,2022,10,43,1970,1,1
