Model,MAE,RMSE,MAPE (%),R²,Median AE,Max Error,Within ±10%,Within ±20%,Within ±30%,Prediction Interval Coverage (%),Bias,Bias (%),Std Error
Naive (last week),811.4493549596656,1907.334297336194,279921163783.1882,0.28360562817246604,135.40915094550002,17597.6764539,13.315118397085609,21.293260473588344,29.581056466302368,93.91621129326047,0.6795083685692153,0.059532562081079696,1907.3341762951059
Seasonal Naive,898.4766834945978,2053.168356583337,325208621392.5418,0.169867048186919,155.7019776235,19682.0944364,12.950819672131148,20.255009107468126,27.012750455373407,93.67941712204008,7.541753589651746,0.6607422874298491,2053.154505249888
Moving Average (4w),653.9442653606425,1464.655305089858,286356804505.71387,0.5775557660122216,118.68079307125036,14314.605814199998,12.131147540983607,21.67577413479053,31.329690346083787,93.60655737704919,1.9498604793090908,0.17082966951287554,1464.6540071880377
