,MAE,RMSE,R²,MAPE
XGBoost,238.00855103672947,516.7105483379992,0.8835330602740871,35.55425187372514
Naive (last week),267.3781736114799,509.6475009442146,0.8866953308145932,38.98406852381833
Moving Average (4w),440.04782395755853,855.2707013726027,0.6809085269725131,50.717062261459404
Seasonal Naive,507.48610302736523,1049.9603888114482,0.519101038522628,58.92162714808773
Prophet,696.0678286684806,1383.0399047065623,0.16559397560012334,117.05151358281441
